PlayerName,Team,rec_att,rec_yds,rec_tds,fumbles,fpts
Travis Kelce KC,Travis Kelce KC,89.5,967.4,7.5,0.8,141
Sam LaPorta DET,Sam LaPorta DET,86.3,893.8,7.7,0.4,134.9
Mark Andrews BAL,Mark Andrews BAL,71.9,870.1,7.9,0.5,133.5
George Kittle SF,George Kittle SF,65.4,881.2,6,0.4,123.4
Kyle Pitts ATL,Kyle Pitts ATL,68,878.2,5.2,0.4,118
Trey McBride ARI,Trey McBride ARI,86,881.8,5.1,0.5,117.5
Dalton Kincaid BUF,Dalton Kincaid BUF,83.1,830.5,5.4,0.8,113.9
Jake Ferguson DAL,Jake Ferguson DAL,70.7,736.5,5.9,0.4,108.2
David Njoku CLE,David Njoku CLE,69.9,772.3,5.4,1.2,107.5
Evan Engram JAC,Evan Engram JAC,85.3,786.8,4.4,0.9,103
Brock Bowers LV,Brock Bowers LV,62.8,697.9,4.6,1.1,95.2
Dallas Goedert PHI,Dallas Goedert PHI,66,699.8,4.1,0.5,93.5
Dalton Schultz HOU,Dalton Schultz HOU,57.3,610.7,4.9,0.8,88.8
Pat Freiermuth PIT,Pat Freiermuth PIT,58.2,606.2,4.4,0.5,86
Taysom Hill NO,Taysom Hill NO,27.5,261.5,2.1,0.3,81.8
Cole Kmet CHI,Cole Kmet CHI,54.5,538.2,4.3,0.5,78.7
T.J. Hockenson MIN,T.J. Hockenson MIN,59.7,596,3.3,0.8,77.9
Hunter Henry NE,Hunter Henry NE,47.6,492.6,4.2,0.1,74.4
Tyler Conklin NYJ,Tyler Conklin NYJ,54,538.9,3.4,0.1,73.8
Cade Otton TB,Cade Otton TB,49.2,490,3.7,0.4,70.6
Luke Musgrave GB,Luke Musgrave GB,46.7,489.7,3.4,0.1,69.2
Juwan Johnson NO,Juwan Johnson NO,40.5,441.4,4.1,0.1,68.8
Chigoziem Okonkwo TEN,Chigoziem Okonkwo TEN,48.2,513.3,2.7,0.4,66.7
Noah Fant SEA,Noah Fant SEA,45.9,490.2,2.8,0.1,65.4
Isaiah Likely BAL,Isaiah Likely BAL,32.2,388.1,3.7,0,61
Jonnu Smith MIA,Jonnu Smith MIA,37.8,415.6,2.8,0.4,57.8
Hayden Hurst LAC,Hayden Hurst LAC,40.5,390.8,2.9,0.1,56.1
Mike Gesicki CIN,Mike Gesicki CIN,36.4,356.9,3.1,0.1,54.5
Ben Sinnott WAS,Ben Sinnott WAS,37.3,387.2,2.6,0.4,53.8
Tucker Kraft GB,Tucker Kraft GB,34,354.6,2.6,0.1,50.7
Dawson Knox BUF,Dawson Knox BUF,28.3,297.9,3.3,0.1,49.4
Greg Dulcich DEN,Greg Dulcich DEN,33.8,374.4,1.9,0.1,49
Zach Ertz WAS,Zach Ertz WAS,36.8,342,2.5,0.1,49
Tyler Higbee LAR,Tyler Higbee LAR,33.9,347.4,2.1,0.1,47.2
Colby Parkinson LAR,Colby Parkinson LAR,29.7,314.1,2.5,0.1,46
Daniel Bellinger NYG,Daniel Bellinger NYG,35.3,334,2.1,0.1,45.6
Ja'Tavion Sanders CAR,Ja'Tavion Sanders CAR,29.9,311.6,2.3,0.4,44.2
Michael Mayer LV,Michael Mayer LV,29.6,317.7,2,0.1,43.7
Tommy Tremble CAR,Tommy Tremble CAR,27.5,261.8,2.5,0.1,40.8
Gerald Everett CHI,Gerald Everett CHI,29.8,275.4,2.2,0.1,40.7
Jaheim Bell NE,Jaheim Bell NE,23,253,2,0,37.3
Theo Johnson NYG,Theo Johnson NYG,28.3,273.2,1.8,0.6,36.9
Jelani Woods IND,Jelani Woods IND,22.7,263.7,1.8,0.1,36.8
Kylen Granson IND,Kylen Granson IND,23.8,258,1.5,0,34.8
Noah Gray KC,Noah Gray KC,22.6,237.3,1.7,0.1,34
Will Dissly LAC,Will Dissly LAC,23.5,225.8,1.5,0.1,31.4
Brevin Jordan HOU,Brevin Jordan HOU,14.7,188.1,1.9,0,30
Donald Parham Jr. LAC,Donald Parham Jr. LAC,15.1,158.5,2.1,0,28.4
Robert Tonyan MIN,Robert Tonyan MIN,20.1,189.7,1.4,0,27.2
Durham Smythe MIA,Durham Smythe MIA,19.5,190,1.3,0,26.6
Mo Alie-Cox IND,Mo Alie-Cox IND,13.8,155.5,1.8,0,26.6
Tanner Hudson CIN,Tanner Hudson CIN,18.6,179.4,1.4,0,26.5
Adam Trautman DEN,Adam Trautman DEN,17,166.8,1.5,0,25.9
Brock Wright DET,Brock Wright DET,15.7,149.5,1.5,0.1,24.1
Austin Hooper NE,Austin Hooper NE,19.5,184.6,0.9,0,24
Elijah Higgins ARI,Elijah Higgins ARI,16.3,177.8,1,0,23.6
Jeremy Ruckert NYJ,Jeremy Ruckert NYJ,16.2,161.3,1.2,0.1,23.1
Josh Oliver MIN,Josh Oliver MIN,16.1,157,1.2,0.4,22.2
Johnny Mundt MIN,Johnny Mundt MIN,16.8,161,0.8,0,21
Josh Whyle TEN,Josh Whyle TEN,13.6,139.8,1.1,0.1,20.5
Davis Allen LAR,Davis Allen LAR,13.8,140.9,1,0,20.1
Foster Moreau NO,Foster Moreau NO,12.5,139.2,1,0,20.1
Pharaoh Brown SEA,Pharaoh Brown SEA,12,132,0.9,0,18.7
Will Mallory IND,Will Mallory IND,12.3,131.1,0.9,0,18.6
Devin Culp TB,Devin Culp TB,12,124.5,1,0,18.5
Dallin Holker NO,Dallin Holker NO,12,123.5,1,0,18.4
Tanner McLachlan CIN,Tanner McLachlan CIN,12,123,1,0,18.3
Brayden Willis SF,Brayden Willis SF,10,121,1,0,18.1
Connor Heyward PIT,Connor Heyward PIT,15.3,137.6,0.7,0,18.1
Trey Knox MIN,Trey Knox MIN,12,119,1,0,17.9
Peyton Hendershot DAL,Peyton Hendershot DAL,11.6,117.4,1,0,17.8
Jack Stoll NYG,Jack Stoll NYG,13.1,122.1,0.9,0,17.6
Luke Schoonmaker DAL,Luke Schoonmaker DAL,10.8,111,1.1,0,17.5
AJ Barner SEA,AJ Barner SEA,11.6,118.8,0.9,0,17.2
Darnell Washington PIT,Darnell Washington PIT,12,119.7,0.8,0,16.8
Teagan Quitoriano HOU,Teagan Quitoriano HOU,6.5,100.6,1.1,0,16.6
Travis Vokolek ARI,Travis Vokolek ARI,11,102,1,0,16.2
Ian Thomas CAR,Ian Thomas CAR,12.6,128.8,0.6,0,16.2
Irv Smith Jr. KC,Irv Smith Jr. KC,10.8,102.5,1,0,16.1
Stone Smartt LAC,Stone Smartt LAC,9.5,108.8,0.8,0,15.8
Brenton Strange JAC,Brenton Strange JAC,9.7,92,1,0,15.2
Cade Stover HOU,Cade Stover HOU,9.9,105.7,0.8,0,15.2
La'Michael Pettway NE,La'Michael Pettway NE,10,91,1,0,15.1
Erick All Jr. CIN,Erick All Jr. CIN,10.3,103.3,0.8,0,15.1
Jordan Akins CLE,Jordan Akins CLE,10.3,101.4,0.8,0.1,15
Tip Reiman ARI,Tip Reiman ARI,10.2,99.2,0.8,0,14.7
Jared Wiley KC,Jared Wiley KC,9.6,98.5,0.8,0,14.6
Lucas Krull DEN,Lucas Krull DEN,9.6,101.4,0.7,0,14.4
Drew Ogletree IND,Drew Ogletree IND,7.9,101.4,0.7,0,14.2
Payne Durham TB,Payne Durham TB,9.2,96.8,0.7,0,14
Drew Sample CIN,Drew Sample CIN,10.5,94.2,0.8,0,14
Quintin Morris BUF,Quintin Morris BUF,7,75,1.1,0,13.8
MyCole Pruitt PIT,MyCole Pruitt PIT,6.2,67.7,1.1,0,13.6
Cameron Latu SF,Cameron Latu SF,9.4,87.5,0.8,0,13.6
James Mitchell DET,James Mitchell DET,8,83.3,0.7,0,12.4
Ross Dwelley ATL,Ross Dwelley ATL,6,83.9,0.7,0,12.3
Ben Sims GB,Ben Sims GB,6.5,56.5,1.1,0,12.2
Miller Forristall LAR,Miller Forristall LAR,7.5,78.5,0.6,0,11.6
Grant Calcaterra PHI,Grant Calcaterra PHI,7.4,76.8,0.6,0,11.4
Harrison Bryant LV,Harrison Bryant LV,7.7,76.6,0.6,0,11.4
Armani Rogers PHI,Armani Rogers PHI,6.5,76.6,0.6,0,11.1
Luke Farrell JAC,Luke Farrell JAC,7.4,74.9,0.6,0,10.8
Nick Vannett TEN,Nick Vannett TEN,6.3,69.9,0.6,0,10.5
Giovanni Ricci CLE,Giovanni Ricci CLE,7.3,72.7,0.5,0.1,10.4
Cole Turner WAS,Cole Turner WAS,6,68.9,0.6,0,10.4
Eric Saubert SF,Eric Saubert SF,8.5,73,0.5,0,10.3
John Bates WAS,John Bates WAS,8.1,77,0.4,0,10.1
Albert Okwuegbunam Jr. PHI,Albert Okwuegbunam Jr. PHI,6.4,62.5,0.6,0,9.8
Hunter Long LAR,Hunter Long LAR,5.4,55.3,0.6,0,9
Lawrence Cager NYG,Lawrence Cager NYG,7.6,66.4,0.4,0,8.8
Josiah Deguara JAC,Josiah Deguara JAC,7.1,60.9,0.4,0,8.6
Charlie Kolar BAL,Charlie Kolar BAL,5.4,58.9,0.4,0,8.3
Ko Kieft TB,Ko Kieft TB,5.6,56.6,0.5,0.1,8.3
Charlie Woerner ATL,Charlie Woerner ATL,8.1,63.1,0.3,0,8.3
John Stephens Jr. DAL,John Stephens Jr. DAL,4,41,0.3,0,6.1
Kenny Yeboah NYJ,Kenny Yeboah NYJ,3.8,37,0.3,0,5.4
Dalton Keene HOU,Dalton Keene HOU,2,21.2,0.2,0,3.1
Tre' McKitty BUF,Tre' McKitty BUF,2.1,20.8,0.2,0,3.1
Shane Zylstra DET,Shane Zylstra DET,2,20,0.2,0,3
Tyler Davis GB,Tyler Davis GB,2,19.9,0.2,0,3
Jody Fortson Jr. MIA,Jody Fortson Jr. MIA,2.1,19.7,0.2,0,3
Tommy Hudson NO,Tommy Hudson NO,2,19.5,0.2,0,3
Julian Hill MIA,Julian Hill MIA,2.1,19.2,0.2,0,2.9
Brady Russell SEA,Brady Russell SEA,2,19,0.2,0,2.9
Zack Kuntz NYJ,Zack Kuntz NYJ,1.9,18.2,0.2,0,2.8
Eric Tomlinson IND,Eric Tomlinson IND,1.8,17.7,0.2,0,2.8
Cole Fotheringham LV,Cole Fotheringham LV,1.7,16.8,0.2,0,2.7
Zach Gentry LV,Zach Gentry LV,1.7,15.9,0.2,0,2.6
Rodney Williams PIT,Rodney Williams PIT,1.7,15.8,0.2,0,2.6
Mitchell Wilcox NE,Mitchell Wilcox NE,3.4,24.3,0,0,2.6
Nate Adkins DEN,Nate Adkins DEN,1.8,15.8,0.2,0,2.5
Chris Manhertz NYG,Chris Manhertz NYG,1.9,16.8,0.1,0,2.4
Anthony Firkser NYJ,Anthony Firkser NYJ,0.2,2.2,0,0,0.3
